09/08/2016 00:14:03: Carregando dados de mysql.
09/08/2016 00:14:03: ID: #artemis#
09/08/2016 00:14:03: Name: Canal 1
09/08/2016 00:14:03: Discovery: Elysium Diamond #1.0.0
09/08/2016 00:14:03: IP: 127.0.0.1
09/08/2016 00:14:03: Port: 10120
09/08/2016 00:14:03: MaximumConnections: 2000
09/08/2016 00:14:03: Logs: True
09/08/2016 00:14:03: ClientSerial: #elysium#
09/08/2016 00:14:03: Sleep: 1
09/08/2016 00:14:03: TestServer: False
09/08/2016 00:14:03: WorldServer 1 ID: Artemis
09/08/2016 00:14:03: WorldServer 2 ID: 
09/08/2016 00:14:03: WorldServer 3 ID: 
09/08/2016 00:14:03: WorldServer 4 ID: 
09/08/2016 00:14:03: WorldServer 5 ID: 
09/08/2016 00:14:03: Connectado ao banco de dados
09/08/2016 00:14:03: Carregando experiência
09/08/2016 00:14:03: Exp Máximo: 121 22353256174
09/08/2016 00:14:03: Carregando guilds.
09/08/2016 00:14:03: Carregando membros.
09/08/2016 00:14:03: Carregando classes
09/08/2016 00:14:03: Carregando NPC
09/08/2016 00:14:04: Servidor iniciado
09/08/2016 00:14:04: Status changed to connected: 127.0.0.1
09/08/2016 00:14:29: Data From World Server ID: 1 Account: akaruz Char ID: 1 Slot: 0 AD42490A66D98128
09/08/2016 00:14:30: Status changed to connected: 127.0.0.1
09/08/2016 00:14:30: Received From Client: AD42490A66D98128
09/08/2016 00:14:30: Player Found ID: 1 Name: Joanlac
09/08/2016 00:15:54: sacizenta Dir: 10 X: 21 Y: 0
09/08/2016 00:15:54: sacizenta Dir: 10 X: 22 Y: 0
09/08/2016 00:15:55: sacizenta Dir: 10 X: 23 Y: 0
09/08/2016 00:15:55: sacizenta Dir: 10 X: 24 Y: 0
09/08/2016 00:15:55: sacizenta Dir: 10 X: 25 Y: 0
09/08/2016 00:15:56: sacizenta Dir: 10 X: 26 Y: 0
09/08/2016 00:15:57: sacizenta Dir: 10 X: 27 Y: 0
09/08/2016 00:15:57: sacizenta Dir: 10 X: 28 Y: 0
09/08/2016 00:15:58: sacizenta Dir: 7 X: 27 Y: 0
09/08/2016 00:15:59: sacizenta Dir: 4 X: 27 Y: 1
09/08/2016 00:16:00: sacizenta Dir: 7 X: 26 Y: 1
09/08/2016 00:16:00: sacizenta Dir: 4 X: 26 Y: 2
09/08/2016 00:16:01: sacizenta Dir: 7 X: 25 Y: 2
09/08/2016 00:16:02: sacizenta Dir: 10 X: 26 Y: 2
09/08/2016 00:16:05: sacizenta Dir: 4 X: 26 Y: 3
09/08/2016 00:16:06: sacizenta Dir: 4 X: 26 Y: 4
09/08/2016 00:16:06: sacizenta Dir: 7 X: 25 Y: 4
09/08/2016 00:16:07: sacizenta Dir: 7 X: 24 Y: 4
09/08/2016 00:16:07: sacizenta Dir: 7 X: 23 Y: 4
09/08/2016 00:16:07: sacizenta Dir: 7 X: 22 Y: 4
